screen_id,survivors_top10,top10_boundary_tied,r2_size_alone,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
1330,6,True,0.0398,67,17292,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1331,9,True,0.0821,61,17291,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1332,6,True,0.014,26,17294,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1334,7,True,0.2136,68,17376,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1335,8,True,0.0307,127,17374,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1336,9,True,0.052,232,17374,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1337,9,True,0.0763,137,17374,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1338,7,True,0.1528,175,17374,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1339,8,True,0.0221,117,17374,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1340,10,False,0.0513,140,17374,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1341,7,True,0.0739,69,17373,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1342,8,True,0.2112,121,17373,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1343,8,False,0.1324,67,17374,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1348,8,True,0.063,63,15459,50,29973717,HeLa,response to chemicals,TKO (Toronto Knockout) v1
1349,8,True,0.0579,107,15459,50,29973717,SUM149PT,response to chemicals,TKO (Toronto Knockout) v1
1350,8,True,0.007,61,15459,50,29973717,hTERT-RPE1,response to chemicals,TKO (Toronto Knockout) v1
1351,4,True,0.5994,966,17230,50,29973717,hTERT-RPE1,response to chemicals,TKO (Toronto Knockout) v1
1352,5,True,0.6002,987,17230,50,29973717,HeLa,response to chemicals,TKO (Toronto Knockout) v1
1353,6,False,0.2845,171,20426,50,31451760,Ramos,response to chemicals,Bassik Human CRISPR Knockout Library
1355,7,True,0.049,127,21619,50,30991026,CCRF-CEM,response to chemicals,GECKO v2
1360,8,True,0.2021,137,18835,50,30862715,WA09,response to chemicals,GECKO v2
1361,4,False,0.7098,877,17998,50,31048320,MOLM-13,response to chemicals,Human Improved Genome-wide Knockout CRISPR Library
1362,3,False,0.6922,916,17998,50,31048320,MOLM-13,response to chemicals,Human Improved Genome-wide Knockout CRISPR Library
1363,3,True,0.6145,951,19106,50,31048320,MOLM-13,response to chemicals,Brunello (human)
1364,9,True,0.1234,40,11100,50,31730859,K-562,cell proliferation,Brunello (human)
1365,9,True,0.0293,23,18975,50,32094149,NALM-6,response to chemicals,Extended Knockout Library (EKO)
1366,8,True,0.0216,24,18977,50,32094149,NALM-6,response to chemicals,Extended Knockout Library (EKO)
1367,9,True,0.1604,80,11100,50,31730859,K-562,cell proliferation,Brunello (human)
1369,9,True,0.1505,56,11100,50,31730859,K-562,cell proliferation,Brunello (human)
1371,9,True,0.1007,112,11100,50,31730859,K-562,cell proliferation,Brunello (human)
1382,5,True,0.037,21,19356,50,33382968,Huh-7.5,response to virus,Brunello (human)
1383,8,True,0.0797,50,19356,50,33382968,Huh-7.5,response to virus,Brunello (human)
1384,6,True,0.0347,86,19356,50,33382968,Huh-7.5,response to virus,Brunello (human)
1385,9,False,0.2099,172,19356,50,33382968,Huh-7.5,response to virus,Brunello (human)
1386,8,True,0.1181,147,19356,50,33382968,Huh-7.5,response to virus,Brunello (human)
1389,5,True,0.4809,610,18236,50,30556811,K-562,vesicle distribution,CRISPR/Cas9-bEXOmiR (minus MMM sub-library)
1392,5,True,0.5872,680,19109,50,31048321,MOLM-13,response to chemicals,Brunello (human)
1393,6,True,0.5094,1142,19109,50,31048321,MOLM-13,response to chemicals,Brunello (human)
1396,7,True,0.4177,901,19107,50,33189395,K-562,response to chemicals,Brunello (human)
1397,7,True,0.4568,971,19107,50,33189395,K-562,response to chemicals,Brunello (human)
141,7,False,0.2627,2174,17217,50,27869803,HPAF-II,cell proliferation,TKO (Toronto Knockout) v1
142,9,False,0.3308,2072,17217,50,27869803,PaTu 8988s,cell proliferation,TKO (Toronto Knockout) v1
1425,9,True,0.0737,110,20511,50,33144569,HeLa,protein/peptide accumulation,Bassik Human CRISPR Knockout Library
1429,9,True,0.2874,146,11465,50,33122441,TIME,response to virus,Human Activity-optimized genome-wide library
143,8,False,0.2017,936,17217,50,27869803,AsPC-1,cell proliferation,TKO (Toronto Knockout) v1
1430,1,False,0.7641,1630,11466,50,33122441,TIME,response to virus,Human Activity-optimized genome-wide library
1431,4,False,0.6162,999,18945,50,33147445,A-549,response to virus,GECKO v2
1433,4,True,0.5871,999,18945,50,33147445,A-549,response to virus,GECKO v2
1434,2,True,0.642,938,19106,50,32690708,SV589j,protein/peptide accumulation,Brunello (human)
1441,9,False,0.2312,749,18457,50,32416067,SUM149PT,cell proliferation,"Liu Human CRISPR Knockout Library (CRISPRn H1 H2, H1/H2)"
1442,8,False,0.3468,587,18457,50,32416067,SUM159PT,cell proliferation,"Liu Human CRISPR Knockout Library (CRISPRn H1 H2, H1/H2)"
