gene,log2FC,t,p,q
DCUN1D3,1.5786075923546137,4.222778588822709,0.00015985286497642606,0.009190403341369785
PDE1A,1.5695491704787363,4.100696393104668,0.00016083481621113145,0.009203241299326584
TMEM132A,1.6089993707872055,4.0791384471655485,0.00016228136515522177,0.009242418970413124
SREBF2,-1.2657169107546826,-4.179149561380474,0.00016418313059431895,0.009307035314204126
SEMA4A,1.6220607378741454,4.079131983396838,0.00016553812552937768,0.009340200003706422
NMT1,-0.806236126214209,-4.06864745637881,0.000169118347502198,0.009498030896060945
TIPARP,1.2749386930504052,4.088059456536402,0.0001704496130361942,0.009506978011912463
CPA4,2.518723174886863,4.1166540036675565,0.00017138902110057044,0.009506978011912463
CP,1.5527130596399188,4.100398902904437,0.00017162873502669435,0.009506978011912463
TRAF4,1.553742339047563,4.16833380627152,0.0001736798753636629,0.009576866218348157
NREP,2.046774625276316,4.110410451661066,0.0001756329769199979,0.009640740466137984
CNOT8,-1.1345969572259955,-4.0572371781488545,0.00018934972947833628,0.010328206952949536
TOP1,0.6367276526430938,4.0462385021973315,0.0001900146293843779,0.010328206952949536
IGFBP6,-1.475975623701892,-4.0505502914112945,0.00019071126514390375,0.010328206952949536
TXNRD1,-0.8375747638516557,-4.0270225891045595,0.00019281357058503762,0.01039565077674263
TMEM50A,-0.36977594691214666,-4.024324184137104,0.00019403680347178877,0.010402220322231374
TCEAL1,-0.788800290180939,-4.0227021199569695,0.00019521617284197056,0.010402220322231374
CX3CL1,1.7031074535181645,4.024846111553205,0.0001955078916386739,0.010402220322231374
COLEC11,1.7853459513504195,4.027676922348779,0.00019914781743040274,0.010549616477066443
RHOJ,1.6462912285674762,4.04844375418698,0.00020403242754972052,0.010747859847590822
TNFRSF19,1.625122187929132,4.032665393944725,0.00020466207442036767,0.010747859847590822
BDKRB2,1.769737417625476,4.004942298120958,0.00020605855237920334,0.010774553012552222
SMO,1.34836236499044,4.071189445034194,0.00020781252646459074,0.010819629864986911
TMEM176A,0.8489084434909948,4.104249957837082,0.0002138000082590962,0.011083794445261093
P4HA3,1.8106267347271259,3.9920868303653885,0.000219363236321259,0.011323810297077417
BTBD3,1.5596377544251645,4.103980838248124,0.00022651334600897775,0.01160039400036795
