gene,log2FC,t,p,q
MYO6,1.0243443630169526,6.0937661140891555,1.0343497601032485e-07,6.94341846982678e-06
LEPROTL1,0.6717645154201124,6.42047904887176,1.0545829257423957e-07,6.9677192554674464e-06
BAX,0.7755907351889961,6.030815338867631,1.0570371782425442e-07,6.9677192554674464e-06
KCND3,1.1668986357139883,6.002874075270807,1.0575948092534926e-07,6.9677192554674464e-06
TMC4,0.6605086268156581,6.048958318351353,1.0601723713807715e-07,6.9677192554674464e-06
LAMB3,1.3100648758678899,6.128639513827334,1.0773927805456703e-07,7.032187516113607e-06
TEX9,1.072668242949658,6.427496816652966,1.0824765196010029e-07,7.032187516113607e-06
TMEM50A,0.5010406114540737,6.245203363809344,1.0867875234016089e-07,7.032187516113607e-06
GOLGA6L4,1.2754055046432873,6.004124466364401,1.1035111688220409e-07,7.078701659129432e-06
CLSTN1,0.8965174017803825,6.372506758618051,1.1052541425869264e-07,7.078701659129432e-06
GSDME,1.3940777341158477,6.232365883531577,1.1407362918860811e-07,7.268864300530953e-06
CTSA,0.9014158414489906,6.250681226805653,1.1873058966641521e-07,7.527399454962172e-06
TERF2IP,0.5785510613022122,6.219904691347193,1.2553896144173018e-07,7.919048155668538e-06
FHOD3,1.4392143726522528,6.0266154752316305,1.2842414445841712e-07,8.031823498727881e-06
HSPG2,0.9788911044121229,6.080220258838586,1.286064305938265e-07,8.031823498727881e-06
FAT2,1.338494835565137,5.951592216617899,1.300024244218952e-07,8.078814028554705e-06
CPXM2,1.104420828936222,5.963258012828472,1.3171872235137676e-07,8.145148382644495e-06
MICAL2,1.6695756586401553,6.115613454977557,1.3317584727508097e-07,8.1948843668828e-06
CRB3,0.816517515114298,6.143805567826551,1.3632710097290302e-07,8.347873651282203e-06
DCLK1,1.4784856984750043,6.476340346943488,1.3883172335502127e-07,8.45997389939603e-06
RTKN2,-1.1965253250482595,-5.994510835036608,1.4356718412503118e-07,8.706274697205393e-06
MYO5A,1.2844438961167866,6.0426524788617755,1.4551749871170355e-07,8.782120967923148e-06
