perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
830_BHLHE40_P1P2_ENSG00000134107,BHLHE40,-1.2607797292765353,-0.0012121713141332294,-0.012959112074462787,9686.0,4962.0,9882.0,8176.666666666667
1471_HDHD5_P1P2_ENSG00000069998,HDHD5,-0.45913467749984127,-0.012961734876963595,-0.0075144174660710964,7808.0,7943.0,8783.0,8178.0
10845_non-targeting_non-targeting_non-targeting,,-1.0327589586119401,-0.009415260253528372,-0.005254566622280442,9223.0,7135.0,8176.0,8178.0
1384_CDADC1_P1P2_ENSG00000102543,CDADC1,-0.6690758494204917,-0.01464589937859436,-0.004140488897430695,8407.0,8304.0,7829.0,8180.0
8076_SLC39A4_P2_ENSG00000147804,SLC39A4,-0.31009779243228675,-0.01713729631649599,-0.005911248483728886,7377.0,8818.0,8347.0,8180.666666666667
8824_TET2_P1P2_ENSG00000168769,TET2,-1.188214129137308,-0.004283621813083933,-0.009500903667091413,9545.0,5760.0,9239.0,8181.333333333333
4315_KDELR2_P1P2_ENSG00000136240,KDELR2,-0.8585328716939739,-0.01071304706272139,-0.005395436251943406,8878.0,7448.0,8222.0,8182.666666666667
9363_TSPYL6_P1P2_ENSG00000178021,TSPYL6,-0.5498879998039786,-0.014334134179872391,-0.0054893763684551455,8073.0,8231.0,8245.0,8183.0
1045_C1orf216_P1P2_ENSG00000142686,C1orf216,-0.4443968255212201,-0.014923650107473796,-0.006099102913899834,7772.0,8379.0,8398.0,8183.0
6583_POU1F1_P1P2_ENSG00000064835,POU1F1,-0.6131692068259079,-0.014321651149664966,-0.004894845744971972,8255.0,8225.0,8072.0,8184.0
9153_TNRC6A_P1P2_ENSG00000090905,TNRC6A,-1.2078914572882244,-0.005135349845089295,-0.008194571260534675,9586.0,6018.0,8949.0,8184.333333333333
5117_MLXIP_P1P2_ENSG00000175727,MLXIP,-0.8199424770115298,-0.012546844389843782,-0.004417414107258562,8788.0,7845.0,7922.0,8185.0
849_BLOC1S5_P1P2_ENSG00000188428,BLOC1S5,-0.7678819456886045,-0.011737840114201098,-0.005405143112971185,8647.0,7682.0,8226.0,8185.0
2652_ENTPD6_P1P2_ENSG00000197586,ENTPD6,-0.28644220812720256,-0.017650237271112795,-0.005897729363744102,7297.0,8915.0,8344.0,8185.333333333333
10939_non-targeting_non-targeting_non-targeting,,-0.4211457374884681,-0.011981547225523166,-0.008910787462614866,7717.0,7728.0,9113.0,8186.0
8842_TFCP2L1_P1P2_ENSG00000115112,TFCP2L1,-1.0808550478006511,-0.005848901833060649,-0.008445721436552811,9340.0,6214.0,9005.0,8186.333333333333
114_ACTR3C_P1P2_ENSG00000106526,ACTR3C,-0.8118393315503882,-0.012798553283416657,-0.004289018543651501,8773.0,7909.0,7879.0,8187.0
