screen_id,r2_size_alone,r2_size_raw,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
527,0.2319,0.1962,2146,17667,50,29083409,COLO 792,cell proliferation,Avana
528,0.2658,0.2259,1959,17667,50,29083409,COLO 800,cell proliferation,Avana
529,0.2469,0.2133,1416,17667,50,29083409,COR-L47,cell proliferation,Avana
530,0.2145,0.1796,1581,17667,50,29083409,COR-L279,cell proliferation,Avana
531,0.2459,0.2066,1791,17667,50,29083409,COV318,cell proliferation,Avana
532,0.2238,0.1843,1815,17667,50,29083409,COV362,cell proliferation,Avana
533,0.2746,0.2182,2224,17667,50,29083409,COV434,cell proliferation,Avana
534,0.2516,0.2187,2075,17667,50,29083409,COV504,cell proliferation,Avana
535,0.1561,0.1333,1544,17667,50,29083409,COV644,cell proliferation,Avana
536,0.2829,0.2328,1854,17667,50,29083409,CAL-29,cell proliferation,Avana
537,0.2721,0.2334,2100,17624,50,27260156,A-375,cell proliferation,GECKO v2
538,0.3129,0.2563,1923,17624,50,27260156,A-673,cell proliferation,GECKO v2
539,0.24,0.1989,1876,17624,50,27260156,BxPC-3,cell proliferation,GECKO v2
540,0.3074,0.2557,1722,17624,50,27260156,CADO-ES1,cell proliferation,GECKO v2
541,0.251,0.2074,1491,17624,50,27260156,CAL-120,cell proliferation,GECKO v2
542,0.2345,0.1912,2130,17624,50,27260156,COR-L105,cell proliferation,GECKO v2
543,0.3101,0.2559,1875,17624,50,27260156,EW-8,cell proliferation,GECKO v2
544,0.2727,0.2155,2010,17624,50,27260156,EWS-502,cell proliferation,GECKO v2
545,0.2621,0.2193,1880,17624,50,27260156,G-402,cell proliferation,GECKO v2
546,0.2499,0.2088,1777,17624,50,27260156,HCC44,cell proliferation,GECKO v2
547,0.2952,0.2327,1876,17624,50,27260156,Hs 294T,cell proliferation,GECKO v2
548,0.2636,0.2099,2137,17624,50,27260156,HT-29,cell proliferation,GECKO v2
549,0.2897,0.2325,1745,17624,50,27260156,K-562,cell proliferation,GECKO v2
550,0.3013,0.2504,1200,17624,50,27260156,L3.3,cell proliferation,GECKO v2
551,0.3044,0.2511,1911,17624,50,27260156,LNCaP,cell proliferation,GECKO v2
552,0.2479,0.1995,1751,17624,50,27260156,MeWo,cell proliferation,GECKO v2
