gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label
AP5S1,2043,2294.3333333333335,1.4135557807357528,0.0042167534379382,0.013666245330499,0.460412653571264,,False,-0.0082053607331025,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TAF3,2044,2295.0,1.961626323371921,-0.0054522734969975,0.0342551019020885,0.25452383447852195,20.0,True,-0.2480834182044499,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NDE1,2045,2295.3333333333335,1.344674513304984,0.0030022748214774,0.0162169787285678,0.4848280642715518,,False,-0.3734700728014306,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ZNHIT3,2046,2297.3333333333335,1.8689082814612936,-0.0041654678073778,0.0284189035697928,0.28460763737506267,1353.0,True,-0.5312459083767709,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
RCHY1,2047,2297.3333333333335,1.0327516237266336,0.012981535581899,0.009139773665223,0.620527114726762,,False,-0.042598515159688,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
C6orf52,2048,2298.0,1.1812640764908529,0.0070230175206105,0.0129001992984547,0.5525137533466902,,False,0.0360542113813482,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ARL6IP1,2049,2300.3333333333335,1.2502037673884845,0.0044014721992876,0.0151922088246978,0.5221722467622348,,False,-0.06996598059736,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NOP53,2050,2303.0,1.56469728950878,-0.0031315318748173,0.0314073450402652,0.3979703762155258,,False,-0.5589892804127726,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
AKR7A2,2051,2303.3333333333335,1.2139812179337963,0.0089817005486807,0.0102810010693573,0.539890530374928,,False,0.0368703646923152,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
FAH,2052,2303.3333333333335,1.322854665024682,0.0116803180460065,0.0069588567556317,0.4923950242319333,,False,-0.0068000448435791,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ZNF98,2053,2304.3333333333335,1.0248644557002098,0.0114299027562357,0.0102158474135644,0.6237974908159584,,False,-0.2520500229924111,1043.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CMC2,2054,2305.6666666666665,1.2524238591292554,0.0054395203913845,0.0139201645350055,0.5214301592914371,,False,-0.0497506239858626,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
B9D1,2055,2306.6666666666665,1.029713603449789,0.0109286544307192,0.0105418744628905,0.6222060927692451,,False,-0.0368264500892933,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ZNF276,2056,2310.6666666666665,0.8803832221494962,0.007847248629852,0.0155813981561204,0.6847969985679394,,False,0.0647644071105399,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
