pathway_id	n_unique_reactions	n_reaction_slots
PWY-7184	9	9
PWY-6886	30	30
PWY-5109	6	6
PWY66-4	27	27
PWY66-5	33	33
PWY-5103	7	7
PWY-5101	8	8
PWY-5104	6	6
DAPLYSINESYN-PWY	9	9
PWY-5292	30	30
PWY-5290	18	18
GLYCOLYSIS-E-D	16	16
PWY-6030	4	4
LYSINE-AMINOAD-PWY	11	11
PWY4FS-5	12	12
PWY4FS-8	6	6
PWY-7290	6	6
PWY-7295	8	8
PWY-7294	7	7
PWY-6109	6	6
PWY-6107	7	7
PWY-5840	10	10
P124-PWY	15	15
CALVIN-PWY	13	13
PWY-6244	4	4
PWY-5910	10	10
PWY-5912	4	4
PWY-5913	9	9
PWY-7342	12	12
PWY-7341	11	11
PWY-7340	10	10
PWY-7347	5	5
PWY-7345	15	15
TRYPTOPHAN-DEGRADATION-1	16	16
PWY-5823	7	7
P108-PWY	7	7
PWY-7758	14	14
PWY-7759	18	18
PWY-7754	16	16
PWY0-1277	9	9
PWY-8175	34	34
PWY-8174	34	34
PWY-7198	7	7
PWY-8173	34	34
PWY-8179	26	26
PWY-8178	6	6
PWY-8190	7	7
PWY-7400	14	14
PWY-7402	24	24
ECASYN-PWY	10	10
PWY-6396	9	9
PWY-6644	6	6
PWY-8154	47	47
PWY-4661	7	7
PWY-8152	28	28
PWY-5044	12	12
PWY-8151	22	22
PWY-4061	9	9
PANTO-PWY	4	4
TEICHOICACID-PWY	12	12
PWY6666-2	5	5
PWY-7574	5	5
PWY-6937	28	28
PWY-6936	5	5
PWY-8011	5	5
VALDEG-PWY	8	8
PWY-6808	11	11
PWY-6807	8	8
PWY-6803	4	4
PWY-13	10	10
P221-PWY	5	5
PWY-5138	5	5
PWY-5136	5	5
PWY-5134	18	18
PWY-5132	6	6
PWY-5133	6	6
PWY-5130	4	4
PWY-5135	4	4
PWY-6368	9	9
PWY-2055	16	16
PWY-7992	8	8
PWY-7991	7	7
PWY-7999	4	4
GOLPDLCAT-PWY	4	4
P105-PWY	10	10
PWY-6113	268	268
PWY-1622	13	13
PWY-4984	5	5
PWY66-425	9	9
PWY-2221	9	9
PWY-7379	5	5
PWY-7376	18	18
