cohort	pathway_id	size	hits	n_strata_cols
FengQ_2015	THREOCAT-PWY	19	5	5
FengQ_2015	PWY-7003	16	3	3
FengQ_2015	PWY-5181	12	5	5
FengQ_2015	PWY-6318	9	8	8
FengQ_2015	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4	7	7
FengQ_2015	URSIN-PWY	7	2	2
FengQ_2015	PWY-5417	6	8	8
FengQ_2015	PWY-5431	6	8	8
FengQ_2015	PWY-6185	7	7	7
FengQ_2015	PWY-6182	7	3	3
FengQ_2015	PWY-5022	7	2	2
FengQ_2015	CATECHOL-ORTHO-CLEAVAGE-PWY	4	8	8
FengQ_2015	GLUDEG-I-PWY	4	2	2
FengQ_2015	PWY-4321	5	2	2
FengQ_2015	PWY-1541	6	1	1
FengQ_2015	PWY-7165	7	5	5
FengQ_2015	PWY-5654	4	1	1
FengQ_2015	PWY-6210	4	1	1
FengQ_2015	PWY-7268	5	5	5
FengQ_2015	UDPNACETYLGALSYN-PWY	6	3	3
FengQ_2015	PWY-7294	7	1	1
FengQ_2015	PWY-6797	7	2	2
FengQ_2015	PWY-5265	17	6	6
FengQ_2015	PWY-6215	4	1	1
FengQ_2015	PWY-7245	8	3	3
FengQ_2015	ALLANTOINDEG-PWY	7	2	2
FengQ_2015	PWY-4361	8	1	1
FengQ_2015	PWY-622	10	2	2
FengQ_2015	PWY-5028	5	7	7
FengQ_2015	PWY-6953	5	3	3
FengQ_2015	PWY-6396	9	2	2
FengQ_2015	PWY-7383	7	2	2
FengQ_2015	PWY66-399	12	1	1
FengQ_2015	P261-PWY	7	1	1
FengQ_2015	PWY-6590	9	1	1
FengQ_2015	CENTFERM-PWY	7	1	1
FengQ_2015	PWY-5345	12	1	1
FengQ_2015	P42-PWY	7	1	1
FengQ_2015	PWY-7200	9	2	2
FengQ_2015	PWY-7411	5	1	1
FengQ_2015	PWY-5870	9	1	1
FengQ_2015	PWY-5871	8	1	1
FengQ_2015	PWY-5873	8	1	1
FengQ_2015	PWY3O-19	8	1	1
FengQ_2015	PWY-5872	9	1	1
FengQ_2015	PWY-5080	4	1	1
FengQ_2015	PWY-6598	5	1	1
FengQ_2015	PWY-7619	5	1	1
FengQ_2015	PWY-6351	5	1	1
FengQ_2015	PWY-5651	5	1	1
FengQ_2015	PWY-6467	5	2	2
ThomasAM_2018a	PWY0-1586	12	113	113
ThomasAM_2018a	ILEUSYN-PWY	7	154	154
ThomasAM_2018a	PWY-7111	5	257	257
ThomasAM_2018a	VALSYN-PWY	4	259	259
ThomasAM_2018a	BRANCHED-CHAIN-AA-SYN-PWY	19	150	150
ThomasAM_2018a	PWY-5103	7	153	153
ThomasAM_2018a	PWY-1042	10	131	131
ThomasAM_2018a	NONOXIPENT-PWY	5	120	120
ThomasAM_2018a	CALVIN-PWY	13	79	79
ThomasAM_2018a	ARGSYNBSUB-PWY	9	141	141
ThomasAM_2018a	PWY-7229	8	82	82
ThomasAM_2018a	PWY-5695	4	148	148
ThomasAM_2018a	ARGSYN-PWY	9	120	120
ThomasAM_2018a	PWY-7400	14	117	117
ThomasAM_2018a	PWY-7221	4	274	274
ThomasAM_2018a	PWY-6126	8	81	81
ThomasAM_2018a	PWY-5686	6	242	242
ThomasAM_2018a	PWY-6936	5	118	118
ThomasAM_2018a	PWY-6385	14	198	198
ThomasAM_2018a	COA-PWY-1	5	279	279
ThomasAM_2018a	PWY-7220	4	170	170
ThomasAM_2018a	PWY-7222	4	170	170
ThomasAM_2018a	PWY-3001	13	73	73
ThomasAM_2018a	PWY-6387	8	251	251
ThomasAM_2018a	PWY-7664	14	37	37
ThomasAM_2018a	TRNA-CHARGING-PWY	21	129	129
ThomasAM_2018a	PWY-5971	31	9	9
ThomasAM_2018a	PWY-5097	7	167	167
ThomasAM_2018a	PWY-2942	8	186	186
ThomasAM_2018a	PEPTIDOGLYCANSYN-PWY	10	235	235
ThomasAM_2018a	PWY-6282	9	37	37
ThomasAM_2018a	PWY-6121	5	244	244
ThomasAM_2018a	ANAGLYCOLYSIS-PWY	11	55	55
ThomasAM_2018a	PWY0-862	6	41	41
ThomasAM_2018a	PWY-6122	5	274	274
ThomasAM_2018a	PWY-6277	5	274	274
ThomasAM_2018a	PWY-5973	5	79	79
ThomasAM_2018a	PWY-6609	4	239	239
ThomasAM_2018a	PWY-5104	6	31	31
ThomasAM_2018a	GLYCOLYSIS	12	32	32
ThomasAM_2018a	COMPLETE-ARO-PWY	17	94	94
ThomasAM_2018a	PWY-6386	8	214	214
ThomasAM_2018a	ARO-PWY	7	110	110
ThomasAM_2018a	1CMET2-PWY	9	157	157
ThomasAM_2018a	PWY-3841	11	196	196
ThomasAM_2018a	PANTO-PWY	4	156	156
ThomasAM_2018a	PWY-5154	9	23	23
ThomasAM_2018a	ANAEROFRUCAT-PWY	14	17	17
ThomasAM_2018a	PWY-5484	11	31	31
ThomasAM_2018a	METSYN-PWY	8	29	29
ThomasAM_2018a	PWY-5347	9	24	24
ThomasAM_2018a	THRESYN-PWY	6	98	98
ThomasAM_2018a	COA-PWY	4	244	244
ThomasAM_2018a	MET-SAM-PWY	9	28	28
ThomasAM_2018a	PWY-5667	4	165	165
ThomasAM_2018a	PWY0-1319	4	167	167
ThomasAM_2018a	FASYN-INITIAL-PWY	6	30	30
ThomasAM_2018a	PWY-724	10	71	71
ThomasAM_2018a	PWY-5188	6	81	81
ThomasAM_2018a	GLUTORN-PWY	5	125	125
ThomasAM_2018a	GLYCOCAT-PWY	8	18	18
ThomasAM_2018a	GLUCONEO-PWY	13	23	23
ThomasAM_2018a	PWY-7013	5	24	24
ThomasAM_2018a	PWY-6163	5	151	151
ThomasAM_2018a	TCA	11	18	18
ThomasAM_2018a	GLYCOGENSYNTH-PWY	4	91	91
ThomasAM_2018a	PANTOSYN-PWY	9	123	123
ThomasAM_2018a	PWY0-1261	12	24	24
ThomasAM_2018a	DAPLYSINESYN-PWY	9	30	30
ThomasAM_2018a	SER-GLYSYN-PWY	4	131	131
ThomasAM_2018a	PWY-6700	4	237	237
